"","BL11","BL12","BL21","BL22","CF11","CF12","CF21","CF22","POOL1","POOL2","POOL3","POOL4","S111","S112","S121","S122","S711","S712","S721","S722"
"tr|A0A140NDC5|A0A140NDC5_ECOBD",46561.1150790406,47730.4966908766,45937.5195444212,55817.4944612037,62024.4170598836,58411.2070068411,66765.8381115462,49893.513234728,51881.7142469359,54882.4004626958,55670.1084590315,51094.0062506002,38271.0753886829,61330.3526157236,48212.1035602012,54336.9352736967,42597.5039977478,60776.5750105973,51380.1755810939,37209.8355786954
"tr|A0A140NDC7|A0A140NDC7_ECOBD",18400491.0367296,19226688.6212209,18209988.6660115,17418725.3947375,22506125.4433548,22015166.6472917,20081422.8357415,19916145.7768493,20035631.758415,20475928.5845931,20335872.3025112,20175688.0404969,20266429.1926749,22105589.7264278,20598914.5695866,21828974.0738063,19597476.3585473,20409899.2757603,20360284.3325706,19875842.3495919
"tr|A0A140NDD0|A0A140NDD0_ECOBD",1532944.66700501,1592653.25382354,1804242.1169237,1412259.51472141,1971512.10038795,2026126.03887497,2103579.37001939,2144842.74325117,1586502.23974126,1602934.87010497,1624591.68847304,1564845.4213732,1216614.04818312,1603188.29147926,1301177.35807227,1531195.00799981,1253849.93521038,1665927.69180064,1392442.19717771,1203493.55232456
"tr|A0A140NDD2|A0A140NDD2_ECOBD",3799334.20054857,3885896.0806519,3889537.34079154,3675922.42076655,4222535.32781336,4087048.42867472,3963895.41676927,4231004.29705939,3710932.98506023,3710337.34274279,3672196.29897762,3749074.0288254,2702588.33792102,3738610.19913385,3579269.31149268,3844254.52336667,3214406.24750864,3564916.65538403,3532052.42393025,3358401.58386623
"tr|A0A140NDD5|A0A140NDD5_ECOBD",1615909.39554134,1422212.10547825,1304919.58671476,1519283.89073501,1576621.20369284,1551972.39049392,1568941.39305624,1500233.14811674,1414974.10578037,1436917.39252359,1341206.73726232,1510684.76104165,1107263.50408518,1384890.72068073,1349169.67946863,1472284.47644924,1212197.5886176,1393411.69465742,1354504.30653014,1167599.42962558
"tr|A0A140NDD6|A0A140NDD6_ECOBD",1906313.88482179,1920276.16815437,1815270.11934778,1715877.23136787,2099920.0743588,1817648.14945513,1959683.63224897,1837136.32305176,1742956.67374379,1806210.71638633,1795120.35883754,1754047.03129259,1572917.93446624,1652308.83668668,1729366.54595041,1646336.03861122,1778471.19643426,1527779.44617083,1604212.08472115,1807617.17349455
"tr|A0A140NDD7|A0A140NDD7_ECOBD",24396443.3488479,24338665.8959186,23968753.8572787,23004488.4156272,29330393.2614178,29061445.7448243,26604512.5215495,27039554.5292722,26972433.2304135,27909913.6140169,27437608.2338174,27444738.610613,29899239.7638527,32018444.9769017,31419347.8827845,33217821.4583789,27912081.6162443,28605117.6101749,28201961.6138676,28144098.6093206
"tr|A0A140NDD9|A0A140NDD9_ECOBD",139945.004297574,154451.826548896,148340.003466305,115131.598217796,230245.681138787,155665.350291979,248908.439409585,171504.756782499,143813.73088416,147568.222910087,141158.61860293,150223.335191317,106596.682759368,133761.709177985,113088.576585957,115380.098985611,90664.1633722998,106756.927232366,123163.440889818,99027.1714181823
"tr|A0A140NDE0|A0A140NDE0_ECOBD",72492211.2092589,76697358.7064068,71043285.7105381,72402955.6473502,63046942.2813176,65748033.286848,68595077.6813358,67404929.6633625,66686254.2863386,68407573.0469642,67742659.7251818,67351167.6081211,60306717.6115554,68631176.198297,68874442.9751745,69826096.994886,61302276.9513009,66174884.2405532,61375659.4909434,58023174.4911939
"tr|A0A140NDE1|A0A140NDE1_ECOBD",3143809.81125701,2708408.36516843,2608728.9009713,2554369.80481465,3445234.65185273,3082283.83854623,3021087.60435073,3012652.1130891,3026152.79552758,3178334.10129098,3082153.8388234,3122333.05799516,3896627.24681762,3329472.05994699,3283475.96515763,3503901.15000474,3155102.21023798,2859531.03460364,2946630.74346821,2856538.47294051
"tr|A0A140NDE2|A0A140NDE2_ECOBD",835279.384487161,685237.031750756,834696.255993851,881899.209808269,671788.180704245,568210.403471562,589652.243276064,610225.146986823,571293.036967398,580858.531672121,576227.228434691,575924.340204827,399652.462865127,450450.865514773,414404.905651681,460677.386039342,388301.455280081,408679.068548899,430104.816880709,371134.101495911
"tr|A0A140NDE3|A0A140NDE3_ECOBD",232100260.318285,191800659.440546,163966608.302794,196012671.099768,365995082.433738,308423264.363498,263559311.43624,325171555.834266,248511956.761903,242300028.742311,244191896.050779,246620089.453435,263880542.589148,219117472.2322,222160999.655928,258994814.439914,242417950.353914,206217998.162453,242491246.299034,280529163.501802
