"","BL11","BL12","BL21","BL22","CF11","CF12","CF21","CF22","POOL1","POOL2","POOL3","POOL4","S111","S112","S121","S122","S711","S712","S721","S722"
"tr|A0A140N7C4|A0A140N7C4_ECOBD",359285.076060817,282603.472250776,270034.924730556,327827.516896409,381230.743341387,294186.362441554,383858.963606423,326580.039621225,302662.046720353,329076.437114106,333738.334418185,298000.149416274,274868.101984488,372914.630092399,295307.655620298,372930.01379622,239929.301264323,361451.386638007,369582.191851813,219318.956634928
"tr|A0A140N7C5|A0A140N7C5_ECOBD",15358564.0056462,15953926.6792064,16743332.967136,17136928.4637216,14948236.8733583,15017508.2998802,14983347.0346013,15041806.6113396,15072627.7060679,15191945.7470072,15212331.8401013,15052241.6129738,14342820.7242037,14920871.402602,14885877.4628037,14506124.1050306,14349307.9826371,14782177.0426618,13995946.0352813,13899968.1964971
"tr|A0A140N7C6|A0A140N7C6_ECOBD",11006178.0831709,10480080.2965738,9890376.59922598,10413500.8136816,9457808.83023605,9605838.46726802,9895629.64808767,10379239.6056832,9113220.18742254,9213059.46089978,9029066.18246579,9297213.46585653,7105198.69902407,7932097.50469901,7887239.17862917,8331263.13309921,7637523.77856349,8258279.2125097,8199912.60013373,7660525.6618012
"tr|A0A140N7C8|A0A140N7C8_ECOBD",1165793.06471197,1064284.14793429,1092425.00120863,1122803.06055602,1250215.28195465,1158533.67845147,1225675.74434877,1210696.26866253,1042900.59491341,1031298.37635542,994908.847550644,1079290.12371818,742318.557247094,957426.333771846,967197.097998524,967296.17534082,833933.197230063,931658.037490854,940799.315475759,800200.083666143
"tr|A0A140N7D0|A0A140N7D0_ECOBD",3264087.37245676,2899784.53119956,2752726.52187831,2886454.7358938,3398661.82697375,3445300.62763104,3226171.81217769,3279749.61015831,3109656.85770219,3060716.8463727,3093459.31538894,3076914.38868596,3075405.84287654,3052155.94367138,3024675.44956507,3105797.02052279,2819648.27934837,2997326.07013588,2998429.05261705,2723675.72093524
"tr|A0A140N7D2|A0A140N7D2_ECOBD",112665.243917739,144520.859095451,132122.502409459,137952.770760873,163056.166146917,154992.102974192,171618.436962107,158207.348210402,121020.055714133,139189.830008247,130782.973816384,129426.911905996,93742.2223503273,111307.666022638,109076.558190595,111131.723522111,102551.089875434,135518.161940241,173670.869543834,122308.911530421
"tr|A0A140N7D6|A0A140N7D6_ECOBD",48768779.5440789,50189009.5178536,45876826.5477921,45841918.0039272,47663275.5428242,48444050.9531745,46375596.7650367,46079876.106266,46946502.3178497,47861271.5527248,47526783.2004365,47280990.6701379,47288174.8904492,47178548.8693424,47585685.705081,47725013.2212676,45007093.418249,46164987.3361011,46032423.2071329,46276163.4959861
"tr|A0A140N7D8|A0A140N7D8_ECOBD",28824506.2906675,27688830.8109434,26355954.5782314,28240558.8784255,29871358.4838259,34604632.4206258,31124625.820537,30239320.8606072,31268269.4817102,31497403.4428011,31611181.535486,31154491.3890253,39277443.8382972,36803439.7163763,33463993.5209332,37577800.2467904,36150956.4480345,36192046.9485779,31356520.0095121,32493900.7594188
"tr|A0A140N7E4|A0A140N7E4_ECOBD",10807760.8805387,10546698.815707,10065317.745674,10983794.2681747,9089514.53373151,8928786.06918426,9547927.51803316,9519535.45509822,9245818.9563902,9426000.52410855,9282012.69361222,9389806.78688653,8252468.47817382,8910734.21058531,8429673.1206222,9256729.85651124,7745164.27155248,9048646.43768327,7989345.2205376,7283016.31727806
"tr|A0A140N7E6|A0A140N7E6_ECOBD",32658763.3126029,33124602.5238957,30143432.1548039,30107925.1759412,33402791.9957164,34760660.4375999,36018387.8116198,36430389.623367,30640269.6263761,31407238.885784,30549374.2756619,31498134.2364982,26043803.2823818,29389416.6853481,30035251.9780962,29884987.4964119,26431183.9745493,28660495.5512251,27473161.6665442,26027756.9944193
"tr|A0A140N7E7|A0A140N7E7_ECOBD",2972927.03831498,2969857.66089302,3483482.34372902,3425988.31581481,3295835.57234722,3285326.1990814,3292027.71638572,3275605.70717936,2984538.22815428,2969944.72721899,3019670.14992224,2934812.80545103,2379516.93775239,2706361.52642299,2597562.30873345,2750348.84638816,2521917.74279997,2777109.49669411,2777767.83427724,2413029.99049625
"tr|A0A140N7E8|A0A140N7E8_ECOBD",80163.5730678011,56496.8992602604,53808.0964871145,66917.032744546,94235.7673366399,78861.1352231531,81846.1323513237,75539.9695522246,69697.7106681018,69628.7698196561,69905.9349958997,69420.5454918582,80324.9222569096,63310.774038572,67038.8450970351,64238.2105563788,77284.0428716389,74978.172622135,67326.8079539835,63181.0187461634
"tr|A0A140N7F1|A0A140N7F1_ECOBD",90354.6033114038,98300.8602174828,91201.1270188379,84958.071095514,83656.2078225875,69387.5018473782,83437.2469305476,76011.7638664882,70097.8187281078,73264.6214737579,69556.6814518947,73805.758749971,62297.1609521928,47807.0083998499,62996.4542981294,49205.7491172464,69859.226952501,83094.11966194,69651.1912894261,63951.8455830641
"tr|A0A140N7F3|A0A140N7F3_ECOBD",858391.401704613,905217.249427211,1005373.87705709,849145.286615504,1237255.14626269,1119462.85015626,1245317.75055651,1057245.59257624,1002363.159562,1084142.3736431,1070936.2542564,1015569.27894871,1175070.81708091,1114254.22029029,1100139.3849199,1073570.893504,1036488.55063084,1007985.18882676,1035518.84143725,946765.835591222
"tr|A0A140N7F5|A0A140N7F5_ECOBD",23638519.9869312,21320244.8762605,19120188.9310153,16408272.7621787,21208767.8786103,22221965.8651405,21182794.5243286,20145244.2172694,22710849.2885591,23349499.9277275,22845797.8740647,23214551.3422219,30240044.4075548,26502055.5055553,26656109.1073347,25671215.7125067,22579625.1619782,24391187.3516118,23975406.9941386,22355536.0459997
"tr|A0A140N7F8|A0A140N7F8_ECOBD",3852395.62884105,3825166.12744526,3802910.88739503,3766832.88383437,4177580.60712747,4415597.16897026,4488551.97295349,4743742.53880005,4327333.88729568,4321073.18932921,4354353.9071558,4294053.16946909,4765609.77916872,4518271.42227056,4522338.04112643,4679673.69099881,4575386.51030339,4625716.26086752,4565957.6556605,4569904.61302982
"tr|A0A140N7G1|A0A140N7G1_ECOBD",608892.897055952,548613.324975464,641796.304236719,705172.888818029,854077.63715073,822826.857314761,830631.327135162,776202.121535988,701485.320795304,693442.25263613,693039.152596552,701888.420834882,646223.0944597,725005.223291934,710721.163103398,698395.089895866,688566.422642839,704703.239111557,661315.384812892,607838.599199126
"tr|A0A140N7G4|A0A140N7G4_ECOBD",27402599.906977,19356925.8971162,17419822.1128689,14895705.6635526,25759651.2566331,20171673.8558901,17444287.4125004,18859916.1554723,21350302.0557926,20791165.9185798,21489891.7999083,20651576.1744641,26249884.408995,20346347.2615959,23502524.8468033,23154847.7536059,21781725.0255686,18276429.7408004,19250316.7645932,21098417.804489
"tr|A0A140N7G6|A0A140N7G6_ECOBD",277791.150092189,310130.196418586,189652.48666265,240815.774330572,296163.553700206,343342.537841732,292092.409071444,316754.009812357,242549.92516908,228373.586316001,237294.625510754,233628.885974327,102025.444103028,166395.544606108,112754.288195252,156404.835714281,236468.317662012,206268.360120276,215503.989558593,249411.632689968
"tr|A0A140N7H1|A0A140N7H1_ECOBD",722406.431945718,667192.798105858,670639.658187693,658599.077028907,1100877.44753863,1177341.12888408,1009683.80416461,1177525.04279129,890061.934944011,855019.467525331,853048.968211255,892032.434258087,807482.850940604,817348.158079044,799371.856624265,795947.403906939,863428.234139964,896502.238294271,926563.142068128,870479.758188389
"tr|A0A140N7H7|A0A140N7H7_ECOBD",117900.765398397,106765.383911347,105769.819923223,121150.216501383,133865.948026713,104624.327857722,133961.769101277,104325.897584738,109119.691962605,119877.067861078,120241.029186902,108755.730636781,115073.222434684,132153.798412181,106669.68622801,111108.378001503,104603.098979055,258559.965206041,128792.941494894,99999.8265808033
"tr|A0A140N7H8|A0A140N7H8_ECOBD",269099.438008973,266192.156743666,237709.886260668,314939.90492913,258324.506514513,258690.652850167,261383.633039023,263154.151771687,241460.642894351,240771.268571933,236293.084360513,245938.827105771,185894.166194007,215009.501531667,213494.189056872,211614.317269873,200204.795285061,210333.832645349,211450.204496137,187859.563296819
"tr|A0A140N7H9|A0A140N7H9_ECOBD",3610712.13215349,3904572.00058787,4025005.96085151,4232005.23799715,5050712.71743675,5231634.5914749,5638919.06566293,5465771.13805945,4225629.37464379,4313939.85564011,4293549.04485877,4246020.18542512,3589140.59676323,4448964.20012548,3935624.77022776,4188103.1051709,3527537.53397318,4167976.6721779,3699615.35436859,3396267.07882444
"tr|A0A140N7I1|A0A140N7I1_ECOBD",1100432.45844891,730237.492240027,841255.558581811,1023126.21536841,1333203.85879645,1193785.19786158,1212958.75245156,1036395.54798638,995023.549339857,1072388.23884029,1033780.5623806,1033631.22579954,1298894.21647027,1149389.2420686,1066142.57846025,1081208.99497059,1088598.59440848,886544.682244194,1064499.1078943,921641.828395357
"tr|A0A140N7I5|A0A140N7I5_ECOBD",391896.027864119,340771.47192089,354086.639527665,425806.7596905,487811.592333892,508447.322701479,509846.100728947,564198.125147736,331036.780838993,336130.501746316,330161.10875267,337006.173832639,179697.75881186,233916.829118987,176872.521876819,214788.970978444,199431.689474323,220452.695206953,230051.492859188,164154.715543592
"tr|A0A140N7I9|A0A140N7I9_ECOBD",8212250.49504914,7503666.46357039,7009967.55729449,7498331.65596086,6692396.7937598,6581511.81988087,6988738.63071577,6866034.57442982,6975214.28791545,7127861.8193291,6956070.88768547,7147005.21955908,7377829.78513437,6885593.84994874,6868787.11104908,7046558.85730814,6652221.76214002,6797160.51389876,6592067.32918449,6158278.60731632
"tr|A0A140N7J1|A0A140N7J1_ECOBD",192846177.055334,165276095.139845,160384561.689387,155257410.582727,195245757.199776,182187978.338409,174700777.579571,170989134.300444,187632668.909626,181019668.553586,186982596.3345,181669741.128712,262414958.657495,188010367.826766,199865954.143833,198241613.861939,201304838.371244,165702104.32424,184255260.434034,187448567.813622
"tr|A0A140N7J2|A0A140N7J2_ECOBD",15815734.4033906,18921609.8702294,19242962.0874649,20838839.627353,21485479.88219,19521254.80797,16048150.7089028,17208539.7740612,18311099.9732245,17718967.4235662,18040627.555856,17989439.8409347,15191646.5008688,17361980.7173547,16892333.4058898,15118251.3476176,17129036.7587076,21826418.2093705,17739657.9515839,16787621.8638456
"tr|A0A140N7J3|A0A140N7J3_ECOBD",3400900.19875961,3418270.66507921,2763812.99310808,2793263.27272941,2989378.85586098,2797820.97636256,2659209.21004332,2476166.7884795,2199291.78144775,2312335.78039412,2206245.31754255,2305382.24429933,1287516.12578301,1600390.89895259,1180563.86532754,1339485.60722708,1634145.78176232,1747305.97439248,1797701.23893756,1429868.26931967
"tr|A0A140N7J6|A0A140N7J6_ECOBD",366940.612474792,869334.637577618,819726.546958058,850159.223672398,272465.727900928,532030.134862961,571251.316758948,589420.602092158,489210.973081038,465133.955158301,453449.772961708,500895.155277632,175107.605590391,418844.743828885,376333.240969523,356845.804331599,250686.92323464,392267.150524946,409656.152000036,292668.045216718
"tr|A0A140N7J7|A0A140N7J7_ECOBD",98859.6852929345,47968.7811004202,59452.895761686,79662.4572340076,159941.709611315,98286.1043680909,83242.9155779469,102580.270872881,75842.2357219706,81789.929842523,68582.553189709,89049.6123747847,88888.8564007412,67688.1757886331,60019.2811766188,63148.6220434518,76901.0857829983,54460.3157602488,76435.0522303514,62628.4196124664
"tr|A0A140N7J9|A0A140N7J9_ECOBD",51826899.2830973,51115857.4999752,50537566.7579136,51327455.6540845,43728126.9950698,44469143.0838479,46588728.3758819,46244892.4468131,44609522.9021357,45080601.8796714,44623225.2517429,45066899.5300642,39630130.2600982,40521051.8192218,42277110.0841568,42850829.5284236,38596012.7601844,38971835.5844634,39872939.5969819,37416855.4351132
"tr|A0A140N7K1|A0A140N7K1_ECOBD",2791716.15311493,1823244.78500884,2170013.80578541,3195067.66393631,3947023.07536162,3181756.65397778,1871707.45178363,3125564.63108177,2170380.90006969,2306683.84172247,2221912.00566988,2255152.73612228,2119583.18232476,1844116.06006628,1190757.68230032,1812783.02955367,2166615.86665382,1655940.72622253,1945169.39320627,1561245.78194117
"tr|A0A140N7K3|A0A140N7K3_ECOBD",25821564.2957036,24640059.1895071,24283102.2488715,24500997.9821995,29150654.5000583,27938194.1966855,27459935.1868689,27515235.1513108,24826883.0465711,24787524.6838342,24843833.3432854,24770574.3871199,25528939.1101861,23131825.0642914,24250936.0180744,23767418.7993059,22885606.8745253,21489127.7579546,22121875.9663722,21568753.3150413
"tr|A0A140N7K4|A0A140N7K4_ECOBD",1075131.44709311,824870.242666593,746172.616678504,1101964.02766536,1520196.3860853,1102237.22854538,1541030.45713776,1074615.97511267,1096729.83086806,1101240.32289622,1100183.32785674,1097786.82590754,1391234.73015456,992006.58803208,779495.036811067,946450.069798585,1530527.50417487,935534.737138918,798875.700195014,947324.583485171
"tr|A0A140N7K6|A0A140N7K6_ECOBD",1193750.58376605,1261925.40915014,1249623.68702071,1303569.60007165,1378341.6944299,1373354.52072806,1387998.53056481,1297382.31634942,1147627.42315961,1169373.54855815,1159176.73124244,1157824.24047533,834988.405871513,1080351.40881666,988853.134442683,1051671.73306192,910540.28854166,1120663.37455731,1054566.35369156,913629.80416821
"tr|A0A140N7K8|A0A140N7K8_ECOBD",53076705.7823547,38746131.8585582,38424693.5726939,34398450.357416,54651673.3304369,43317042.3181548,40763775.5045129,40263314.7434705,45655006.6359448,44443678.1884268,44858296.6251044,45240388.1992672,60547189.2336923,42223175.3213755,46936394.7923249,48352264.7739419,48322678.7029852,34247098.1205573,44999242.2354389,45708749.7070099
"tr|A0A140N7L1|A0A140N7L1_ECOBD",1173735.80119699,993595.498047753,968839.604906054,1110256.48252963,992910.517007736,1031398.13706095,1100203.97867141,1091641.5289269,806451.282745153,851527.788957415,819513.509075003,838465.562627565,603330.466003357,546857.838195089,582954.529270806,558775.733308059,593945.737357179,525101.710979571,564188.928904853,506542.133543011
"tr|A0A140N7L7|A0A140N7L7_ECOBD",1805646.57498091,1699420.9836917,1853677.27399872,1855870.84995241,2036742.03554727,1948973.90192059,1830058.99953343,1845929.98176375,1434477.10244637,1412135.05085472,1467278.25930737,1379333.89399372,775435.1231806,846914.009077609,868357.349865457,854697.798876672,991162.177865561,942078.584254191,943500.061044177,839992.228968568
"tr|A0A140N7L9|A0A140N7L9_ECOBD",41568695.5672117,32410677.2220616,31854339.5686031,33074364.9669161,45673817.491237,38245854.1794498,36076580.0988098,35363805.5085534,38099198.7925119,37632088.272413,37423196.8443682,38308090.2205567,47553546.2727845,38031643.6658873,39766017.2578438,39230813.497255,41316755.8651003,34214492.1689346,38689164.6663025,39052494.6613204
"tr|A0A140N7M2|A0A140N7M2_ECOBD",502646.637144024,475265.853409742,439528.217820353,468370.22777038,560073.457769217,513491.77416784,585122.292108882,540237.06229254,547630.885563131,557664.840337762,556303.036904749,548992.688996144,676079.535267118,670599.635283185,640129.249006566,605355.427757903,642870.504932997,630724.051904308,605504.580367694,577062.147416026
"tr|A0A140N7M4|A0A140N7M4_ECOBD",914812.205722442,819218.572683998,897197.784735302,943422.309487398,931743.091533382,799642.371446563,850852.682563238,916399.545429099,777380.218649167,832386.139468589,819378.29727702,790388.060840736,787180.162772581,715231.123591287,701288.723509165,709886.586801163,656944.424923136,735591.766392931,711653.087439721,683699.404594628
"tr|A0A140N7M5|A0A140N7M5_ECOBD",23365901.142067,24508278.5407136,20841182.7294073,21290964.8038013,21985232.0774315,23341605.6203497,23682146.1026566,23902464.4603565,28279638.5435133,28535845.4899504,27876623.8064956,28938860.2269681,36660437.3400443,36134889.0385186,36834953.822039,37529416.5708639,31054165.1691614,32054566.5173456,33688432.0439759,35067327.6436853
"tr|A0A140N7N1|A0A140N7N1_ECOBD",2387319.26189611,2125369.42627645,2398760.59302117,2441893.08444101,3366182.37814539,2880389.79150137,3581037.24261241,3007405.70066879,2161488.46150187,2373804.96410922,2197567.05333469,2337726.3722764,1917507.2980924,1869463.41569664,2037692.62568779,1633860.97280542,1924092.23261806,1777268.9348996,1761055.4571772,1793696.42627435
"tr|A0A140N7N2|A0A140N7N2_ECOBD",2745100.32021352,3025897.83085968,2742028.3399219,2901577.64799904,3483121.99702391,3531478.22537088,3890275.69531756,3689073.84247356,3420273.13420073,3450510.81941394,3318208.29532938,3552575.6582853,3221984.61880825,4060007.42754549,3968496.20705533,4179127.00036177,3075320.40857609,3743846.67913956,3289263.32006919,3210476.03489967
"tr|A0A140N7N3|A0A140N7N3_ECOBD",12492662.464404,12891002.2794875,12056444.5175246,11927876.0089226,10077485.8655848,10195138.0569499,10331380.6875545,10520065.1319199,9668627.55675353,10031290.6192506,9889329.10048594,9810589.07551815,7272780.69704734,8030466.13385978,8208486.90216559,8428361.84570381,7917122.12715335,7966496.84153228,8016339.40649822,7086836.03396626
"tr|A0A140N7N4|A0A140N7N4_ECOBD",1367508.42806645,1291032.2621761,1295755.70569297,1289062.58777223,1260109.73249162,1145437.85085044,1135839.25492244,1078861.53890995,1105677.44731549,1127805.81642197,1129617.43360139,1103865.83013607,847329.431864584,1059733.98072798,966475.594774996,944783.820241884,889168.766851833,970272.072303046,1022677.84097306,913524.115926703
"tr|A0A140N7N6|A0A140N7N6_ECOBD",620698.225427954,503535.479378937,562195.122341377,736719.677685918,476832.545462234,485129.197950353,467898.670696531,455961.752207049,527605.415526372,528960.34231547,542268.192945056,514297.564896786,629737.074751135,473491.65196736,541889.535373521,493198.958907046,515008.085528002,496075.843136984,471468.279638041,463642.851348318
"tr|A0A140N7P0|A0A140N7P0_ECOBD",1210378.72470922,1182548.40452617,1123382.65575893,1127616.93012754,1168146.81881069,1144577.85721148,1149988.73307906,1084229.14233113,1052931.80059105,1131740.53351407,1078446.53359934,1106225.80050578,971267.115325031,950660.755093629,926366.984039911,970152.050023356,1022562.64448136,1088580.69197699,1067562.08048013,935177.220543647
"tr|A0A140N7P3|A0A140N7P3_ECOBD",806877.547047569,890280.406848476,910015.080305579,798068.034119443,855764.147508284,936985.55174039,903766.565943257,850902.28671457,825992.031086935,793426.029368692,822711.738096493,796706.322359133,652784.197555993,662849.542925277,718075.826593968,684526.651408264,670798.57981459,825550.671833586,1079647.79859412,669594.46982486
"tr|A0A140N7P5|A0A140N7P5_ECOBD",19646.2213896052,25440.2141180335,70867.8865250079,31883.1708705048,31574.5830569189,60008.8152978879,25628.8521180229,27208.9073526231,43353.1451651393,20639.9517552719,40236.488457632,23756.6084627791,49074.6469426603,28932.9002694584,30241.3217272479,16154.9007499877,32440.3462438375,21815.4865967889,30209.5482907039,210869.169676301
"tr|A0A140N7P9|A0A140N7P9_ECOBD",228701.650148766,183391.654806985,211796.49458488,301577.804209262,90937.9101784062,117905.460424965,96723.9332390891,107395.87504157,153569.997208529,164943.483069138,171730.161156987,146783.319120681,94207.5176755464,107770.200691836,117102.572749858,124405.529358756,105195.989813264,157507.812492679,140946.698228762,97873.6829932593
"tr|A0A140N7Q1|A0A140N7Q1_ECOBD",3142324.26336478,2966951.89369275,2950671.37861954,3271275.71785945,4572531.4107373,4231273.78135794,4164524.35989122,3828983.37770174,2917686.08698561,3021898.86934365,2941891.30753815,2997693.64879111,2274799.84703048,2028976.54300184,2354328.04370837,2018403.68985728,2640541.53221082,2336552.54261867,2306986.55462365,2410095.59252113
"tr|A0A140N7Q2|A0A140N7Q2_ECOBD",13622293.9995623,13537251.0692217,13391295.5783452,13519471.6869279,13782789.162535,13996440.0377989,14735911.0566194,14961808.2666614,12654696.1535129,12910793.3136346,12758429.0721114,12807060.3950361,11812196.0214698,11821911.1588749,12254374.0648593,12000634.4892433,11456572.7286876,11820808.0974628,11581379.707741,10754395.3673257
"tr|A0A140N7Q4|A0A140N7Q4_ECOBD",1819548.39037125,1853143.0574489,1825729.84471111,1990998.53088614,2026145.21301741,2129284.71465193,2142485.93431006,2138019.38019831,1552305.1833123,1654347.6460247,1536079.88749261,1670572.94184439,964574.072728777,928543.017475759,1077918.09049464,981707.58275877,1155761.94078612,1115909.53190067,1260690.15448181,1077503.29621925
"tr|A0A140N7Q6|A0A140N7Q6_ECOBD",679795.475005583,811205.064749835,587702.141850869,580864.898227935,463571.410101808,479646.620686046,501453.894774215,430385.887220403,571901.701833599,577238.262512826,569553.593277185,579586.37106924,513942.527495463,487558.835792657,436411.12256124,465806.235187713,519469.630399847,538564.240029253,530943.801501038,536408.96301852
"tr|A0A140N7Q7|A0A140N7Q7_ECOBD",1213481.74585689,1211869.49687729,1340252.8782815,1355581.70588547,1652879.60500028,1809139.3410006,1459119.32142258,1555310.6745033,1152839.31628977,1168234.56771635,1124099.75244256,1196974.13156356,770936.757643881,813023.050995164,676727.625793811,670446.961998489,901735.35187513,1423464.62950214,1190358.08452574,842575.886519333
"tr|A0A140N7Q9|A0A140N7Q9_ECOBD",446597.954102976,338592.527097666,359514.040350405,475755.899990559,480334.470042136,377505.506539596,374290.124337605,361406.284287113,330761.724992506,344432.06071823,316105.774621784,359088.011088953,213981.856699254,252904.435117922,234533.384179914,221021.948379685,231198.862568927,273109.768074542,283246.649342772,219878.72014509
"tr|A0A140N7R0|A0A140N7R0_ECOBD",1446651.41425256,1383202.89375778,1354591.24039529,1240811.72290167,1552182.25321013,1477367.10730968,1449870.90763794,1363125.03157749,1369524.05541708,1346015.58243831,1351260.37560113,1364279.26225427,1361395.0101541,1287012.62828505,1248892.97439471,1227505.34704685,1219756.85598672,1243609.69449283,1241364.75683066,1198461.82848255
"tr|A0A140N7R1|A0A140N7R1_ECOBD",5770924.94013513,5625854.28679547,5548598.0536036,5786658.6080644,6541437.26748162,6341954.4296627,6321622.43120748,6569392.44211217,5448331.6979926,5566645.68235836,5470149.75658209,5544827.62376887,4740992.99373501,5099056.17937677,4842799.69091822,4857905.35959472,4907180.46282447,4779367.20652377,4793529.93712319,4386057.78624274
"tr|A0A140N7R5|A0A140N7R5_ECOBD",4531602.96911011,4746982.7893524,4920252.61815094,5764922.29293696,5868901.30748678,6127751.29152997,6142461.859972,5847307.28778762,4977353.42424181,4960118.65052548,4929819.0175628,5007653.05720449,3718224.06909572,4912996.85894714,4706591.22976688,4628656.07183936,4072960.73776016,4514689.31040247,4189082.58567706,3846616.35197396
"tr|A0A140N7R8|A0A140N7R8_ECOBD",209301.183085942,235541.923330772,237191.134879513,230046.134163476,317979.412156824,339230.691283398,354288.494737176,321504.481514587,263531.472065946,286078.387620863,265741.980987188,283867.878699621,263033.184395561,272515.189395899,280421.610841489,274585.513093371,248394.459674256,244648.582745191,266029.001168141,236242.409100792
"tr|A0A140N7S0|A0A140N7S0_ECOBD",508246.983950629,480353.192355016,454911.284784802,457725.502695313,577188.32302613,495666.804954867,529206.093443296,533650.921949453,486700.106342363,548146.572086699,475991.678744581,558854.999684481,506644.497824616,476702.085145273,471244.090690158,486566.134853525,396589.187732194,460631.194994392,438347.505458165,370974.387489457
"tr|A0A140N7S1|A0A140N7S1_ECOBD",2130059.51800182,1956052.89208947,1905475.00981931,1903495.74800757,2221339.92849071,2076710.08142667,1939142.41451921,2012411.55487984,1996930.15687673,1892719.55550404,1963370.27722483,1926279.43515594,2204150.60287243,1843869.97633451,1861067.4318776,1938710.00463647,2008088.54438329,1891036.28574368,1870804.94087404,1924096.17014089
"tr|A0A140N7S3|A0A140N7S3_ECOBD",3915000.91404543,2701628.08184885,2854009.65660645,3714434.84139112,3485766.57697546,3100495.49301133,2302750.9135853,3474014.97377331,2562074.80142711,2574435.76613485,2608359.43656776,2528151.13099419,2181446.87180214,1734809.44356757,1331354.37493908,1940078.0296218,2102681.14480884,1698616.70152819,1969851.23383563,1801082.12287109
"tr|A0A140N7S4|A0A140N7S4_ECOBD",22673.3656020158,28723.4221819335,21730.7969332319,16624.0531653345,24455.6675875547,23455.5209619706,22209.7253029832,21073.4719892398,24876.8856742923,22943.1373401771,23923.6434337379,23896.3795807314,17585.0810321335,22622.2991651754,21739.7888324987,27338.3843355593,21501.1658363158,23250.732399656,22136.4745374062,20222.2461670748
"tr|A0A140N7S5|A0A140N7S5_ECOBD",881453.175824818,782433.202574874,798278.461027637,815050.397259405,929842.286927424,864053.76531599,850222.121149622,822508.188549749,764969.71620068,783773.279481239,789760.168999792,758982.826682127,637224.875089346,723644.96290705,641872.574837038,721665.224007576,680368.557772467,723873.542286626,742361.080442185,665383.407323011
"tr|A0A140N7S8|A0A140N7S8_ECOBD",2797022.09341489,2840032.55513417,2757716.93197069,2850817.90962657,3288435.37136371,2946835.92837659,2899089.95354597,2749146.3831472,2528452.6548241,2528825.79066481,2533068.03347117,2524210.41201775,1782112.52214241,2314719.6784155,2095070.01493219,2177683.21919452,1935330.65461211,2167985.86738042,2269315.73289242,1934969.52877322
"tr|A0A140N7T0|A0A140N7T0_ECOBD",2849476.97258196,3467521.25920428,3245476.65946382,3382110.04913036,1814308.96538971,2034940.68826571,2185303.33589162,2051618.20896834,2164009.17244736,2244792.55032494,2190129.38285919,2218672.33991312,958236.866457632,1456196.18677214,1334221.28494295,1499831.4852701,1465321.4274405,2009988.64381552,1727208.94636497,1464378.98094822
"tr|A0A140N7T1|A0A140N7T1_ECOBD",1475099.80183205,1629285.48330364,1577895.3817141,1597856.77474075,1478443.5930295,1568720.92788501,1662847.94884918,1669516.42635985,1516809.00729229,1603990.43140774,1583856.51061562,1536942.92808441,1342779.95105058,1701155.19073386,1689701.84694245,1756553.42732909,1421361.59391793,1475493.14077742,1549016.54073414,1445293.81656051
"tr|A0A140N7T2|A0A140N7T2_ECOBD",2454988.11105378,2166169.76696593,2190551.61348326,2312556.34900179,2811207.37395344,2708282.32132014,2779374.52380721,2848279.7227787,2355492.91564016,2315139.77367272,2396131.46515507,2274501.22415781,2326449.36382058,2189731.7159242,2071475.17355368,2161273.90540816,2050686.55578533,1961532.50739227,2155849.88729577,1930704.62327903
"tr|A0A140N7T3|A0A140N7T3_ECOBD",1149754.44491517,1078625.61552854,1036998.29965321,1149970.41914025,1343726.10279281,1215347.55576544,1223818.91553834,1229065.67079057,968043.468784834,954779.185155871,962902.229444,959920.424496705,621512.618961983,761390.10744753,689486.22285115,713940.844397354,760888.662032308,769730.703153406,771312.305506423,685597.343388272
"tr|A0A140N7T4|A0A140N7T4_ECOBD",5013294.94800624,5369517.0632985,5302449.96924123,5001731.23788702,5389759.11561072,5250278.39647072,5326612.36652791,5153648.02068741,5002908.97708058,5033844.20148382,5058831.87707076,4977921.30149364,4709655.85977629,4884312.04780735,4548953.64260504,4731719.24098197,4666392.12855586,4774454.30190998,4900279.15842171,4482290.36975669
"tr|A0A140N7T5|A0A140N7T5_ECOBD",697146.03827343,699711.230255772,699940.315675188,717714.785932323,443292.969345382,443154.082750383,385164.437861095,379041.014479246,380543.605769024,392231.672694703,388043.285343959,384731.993119767,100937.362879375,97434.6300385592,147658.638309248,109670.006005817,223190.169744478,207604.453942888,236378.77569157,213787.052342737
"tr|A0A140N7T6|A0A140N7T6_ECOBD",1770651.84198022,1715503.82840478,1956551.82254618,2019376.40537795,2011984.2888723,1930666.94166057,1923959.3817094,1888322.89271401,1604818.40990208,1587819.08616705,1584604.22512878,1608033.27094034,1065418.65660378,1165263.51555236,1260589.88092365,1242509.89932741,1282289.51329989,1226569.70111316,1199299.76568231,1137088.3868112
"tr|A0A140N7T7|A0A140N7T7_ECOBD",13608434.8374754,15937658.9344673,16393740.9882579,15985217.2818233,18590955.2599299,19460657.8189216,20733830.5247309,20806039.1500848,15093041.7182396,14991384.4009055,14971106.5955298,15113319.5236153,9888510.97064948,12812517.2240419,12885977.3696825,12594753.7265527,11427427.0207045,12397245.6417704,12608757.2354687,11405368.0442707
